baily,constellation,member_type,seq,latin,english
79,Cep,figure,5,Quae supra dextrum cubitum tangens ipsum,"The one above the right elbow, touching it"
80,Cep,figure,6,Quae sub hoc cubito ipsum quoque tangens,"The one below that elbow, also touching it"
81,Cep,figure,7,Quae in pectore,The one in the chest
82,Cep,figure,8,Quae in sinistra brachio,The one in the left arm
83,Cep,figure,9,Australis de tribus quae in tiara sunt,The southern of the three in the tiara
84,Cep,figure,10,Media ipsarum,The middle of them
85,Cep,figure,11,Borealis ipsarum,The northern of them
86,Cep,unformed,1,Praecedens tiaram,The one preceding the tiara
87,Cep,unformed,2,Sequens tiaram,The one following the tiara
88,Boo,figure,1,Praecedens de tribus quae sunt in manu sinistra,The preceding of the three in the left hand
89,Boo,figure,2,Media et australior de tribus,The middle and more southern of the three
90,Boo,figure,3,Sequens de tribus,The following of the three
91,Boo,figure,4,Quae in sinistro cubito est,The one in the left elbow
92,Boo,figure,5,Quae est in humero sinistro,The one in the left shoulder
93,Boo,figure,6,Quae est in capite,The one in the head
94,Boo,figure,7,Quae in humero dextro,The one in the right shoulder
95,Boo,figure,8,Borealior ipsarum et in collorobo,"The more northern of these, in the crook"
96,Boo,figure,9,Adhuc borealior ista et in extremitate collorobi,"Still more northern than that, at the tip of the crook"
97,Boo,figure,10,Borealior duarum quae sunt in clava sub humero,The more northern of the two in the club below the shoulder
98,Boo,figure,11,Australior ipsarum,The more southern of them
99,Boo,figure,12,Quae in extremitate dextrae manus est,The one at the tip of the right hand
100,Boo,figure,13,Praecedens de duabus quae in vola manus sunt,The preceding of the two in the palm of the hand
101,Boo,figure,14,Sequens ipsarum,The following of them
102,Boo,figure,15,Quae in extremitate capuli collorobi,The one at the end of the crook's handle
103,Boo,figure,16,Quae in crure dextro juxta cingulum,"The one in the right leg, by the belt"
104,Boo,figure,17,Sequens de duabus quae in cingulo sunt,The following of the two in the belt
105,Boo,figure,18,Praecedens ipsarum,The preceding of them
106,Boo,figure,19,Quae est in dextro calcaneo,The one in the right heel
107,Boo,figure,20,Borealis de tribus quae sunt in sinistra tibia,The northern of the three in the left shin
108,Boo,figure,21,Media ipsarum,The middle of them
109,Boo,figure,22,Australis ipsarum,The southern of them
110,Boo,unformed,1,Quae est inter crura et vocatur Arcturus subrufa,"The one between the thighs, called Arcturus, reddish"
111,CrB,figure,1,Fulgens earum quae sunt in corona,The brilliant one among those in the crown
112,CrB,figure,2,Quae omnes istas praecedit,The one preceding them all
113,CrB,figure,3,Borealior quae istam sequitur,The more northern one following it
114,CrB,figure,4,Sequens istam et borealior ista,"The one following that, and more northern still"
115,CrB,figure,5,Quae fulgentem a meridie sequitur,"The one following the brilliant one, from the south"
116,CrB,figure,6,Quae istam propius sequitur,The one following it more closely
117,CrB,figure,7,Quae post istas rursus sequitur,The one following again after these
118,CrB,figure,8,Sequens cunctas quae in corona sunt,The last of all those in the crown
119,Her,figure,1,Quae in capite,The one in the head
120,Her,figure,2,Quae in humero dextro penes axillam seu scapulam,"The one in the right shoulder, by the armpit or shoulder-blade"
121,Her,figure,3,Quae in brachio dextro,The one in the right arm
122,Her,figure,4,Quae in cubito dextro,The one in the right elbow
123,Her,figure,5,Quae in humero sinistro,The one in the left shoulder
124,Her,figure,6,Quae in brachio sinistro,The one in the left arm
125,Her,figure,7,Quae in sinistro cubito,The one in the left elbow
126,Her,figure,8,De tribus quae sunt in sinistra manus vola illa quae sequitur,"Of the three in the palm of the left hand, the one that follows"
127,Her,figure,9,Borealis de duabus reliquis,The northern of the remaining two
128,Her,figure,10,Australior ipsarum,The more southern of them
129,Her,figure,11,Quae in dextro latere,The one in the right side
130,Her,figure,12,Quae in latere sinistro,The one in the left side
131,Her,figure,13,Borealior ista in vertebro sinistrae coxae,"The one more northern than that, at the joint of the left hip"
132,Her,figure,14,Quae in capite cruris ejusdem,The one at the head of the same thigh
133,Her,figure,15,Praecedens de tribus quae sunt in sinistro crure,The preceding of the three in the left thigh
134,Her,figure,16,Sequens istam,The one following it
135,Her,figure,17,Quae adhuc istam sequitur,The one following it still
136,Her,figure,18,Quae in genu sinistro,The one in the left knee
137,Her,figure,19,Quae in sinistra sura,The one in the left calf
138,Her,figure,20,Praecedens de tribus quae sunt in extremitate pedis sinistri,The preceding of the three at the tip of the left foot
139,Her,figure,21,Media de tribus,The middle of the three
140,Her,figure,22,Sequens ipsarum,The following of them
141,Her,figure,23,Quae in vertebro coxae dextrae,The one at the joint of the right hip
142,Her,figure,24,Borealior ista in eodem crure,"The one more northern than that, on the same thigh"
143,Her,figure,25,Quae in genu dextro,The one in the right knee
144,Her,figure,26,Australior duarum quae in genu dextro sunt,The more southern of the two in the right knee
145,Her,figure,27,Borealior ipsarum,The more northern of them
146,Her,figure,28,Quae in tibia dextra,The one in the right shin
147,Her,figure,29,Quae in extremitate dextri pedis est ipsa eadem in extremitate collorobi,The one at the tip of the right foot — the very same as the tip of the crook
148,Her,unformed,1,Australior illa quae est in brachio dextro,The one more southern than that in the right arm
149,Lyr,figure,1,Fulgens quae in testa est et vocatur Lyra,"The brilliant one on the shell, called Lyra"
150,Lyr,figure,2,Borealis de duabus quae isti adhaerent,The northern of the two adjoining it
151,Lyr,figure,3,Australior ipsarum,The more southern of them
152,Lyr,figure,4,Quae istas sequitur et media inter ortum cornuum,"The one following these, midway between the springing of the horns"
153,Lyr,figure,5,Borealior de duabus contiguis quae sunt ad orientalem testae partem,The more northern of the two close-set stars at the eastern part of the shell
154,Lyr,figure,6,Australior ipsarum,The more southern of them
155,Lyr,figure,7,Borealior duarum praecedentium quae in jugo lyrae sunt,The more northern of the two preceding stars in the yoke
156,Lyr,figure,8,Australior ipsarum,The more southern of them
157,Lyr,figure,9,Borealior duarum sequentium quae in jugo lyrae sunt,The more northern of the two following stars in the yoke
158,Lyr,figure,10,Australior ipsarum,The more southern of them
159,Cyg,figure,1,Quae est in ore,The one in the beak
160,Cyg,figure,2,Quae istam sequitur et est in capite,"The one following it, in the head"
161,Cyg,figure,3,Quae in medio collo,The one in the middle of the neck
162,Cyg,figure,4,Quae in pectore,The one in the breast
163,Cyg,figure,5,Fulgens quae in cauda est,The brilliant one in the tail
164,Cyg,figure,6,Quae in cubito alae dextrae est,The one in the elbow of the right wing
165,Cyg,figure,7,Australis de tribus quae sunt in pectine dextrae alae,The southern of the three in the feather-edge of the right wing
166,Cyg,figure,8,Media de tribus,The middle of the three
167,Cyg,figure,9,Borealis ipsarum quae est in extremitate pectinis,"The northern of them, at the tip of the feather-edge"
168,Cyg,figure,10,Quae in cubito alae sinistrae,The one in the elbow of the left wing
169,Cyg,figure,11,Borealior ipsarum et in medio ejusdem alae,"The one more northern than that, in the middle of the same wing"
170,Cyg,figure,12,Quae in extremitate pectinis alae sinistrae,The one at the tip of the feather-edge of the left wing
171,Cyg,figure,13,Quae in pede sinistro,The one in the left foot
172,Cyg,figure,14,Quae in genu sinistro,The one in the left knee
173,Cyg,figure,15,Praecedens de duabus quae sunt in pede dextro,The preceding of the two in the right foot
174,Cyg,figure,16,Sequens ipsarum,The following of them
175,Cyg,figure,17,Quae in genu dextro nubi similis,"The one in the right knee, like a little cloud"
176,Cyg,unformed,1,Australior duarum quae sunt sub ala sinistra,The more southern of the two beneath the left wing
177,Cyg,unformed,2,Borealior ipsarum,The more northern of them
178,Cas,figure,1,Quae in capite,The one in the head
179,Cas,figure,2,Quae in pectore,The one in the breast
180,Cas,figure,3,Borealior ipsa et est in cingulo,"The one more northern than that, in the girdle"
181,Cas,figure,4,Quae supra sedem in cruribus est,"The one above the seat, at the thighs"
182,Cas,figure,5,Quae in genibus,The one in the knees
183,Cas,figure,6,Quae in tibia,The one in the shin
184,Cas,figure,7,Quae in extremitate pedis,The one at the tip of the foot
185,Cas,figure,8,Quae in sinistro brachio,The one in the left arm
186,Cas,figure,9,Quae sub cubito sinistro,The one below the left elbow
187,Cas,figure,10,Quae in brachio dextro,The one in the right arm
188,Cas,figure,11,Quae supra pedem sedis est,The one above the foot of the seat
189,Cas,figure,12,Quae in media sede seu cathedra,"The one in the middle of the seat, the throne itself"
190,Cas,figure,13,Quae in extremitate sedis,The one at the edge of the seat
191,Per,figure,1,Quae in dextrae manus extremitate et est nebulosa,"The one at the tip of the right hand, and it is nebulous"
192,Per,figure,2,Quae in dextro cubito,The one in the right elbow
193,Per,figure,3,Quae in humero dextro,The one in the right shoulder
194,Per,figure,4,Quae in humero sinistro,The one in the left shoulder
195,Per,figure,5,Quae in capite,The one in the head
196,Per,figure,6,Quae in occipite,The one at the back of the head
197,Per,figure,7,Fulgens quae est in dextro latere Persei,The brilliant one in the right side of Perseus
198,Per,figure,8,Praecedens de tribus quae sunt post illam quae est in latere,The preceding of the three that follow the one in the side
199,Per,figure,9,Media de tribus,The middle of the three
200,Per,figure,10,Sequens ipsarum,The following of them
201,Per,figure,11,Quae in cubito sinistro,The one in the left elbow
202,Per,figure,12,Fulgens quae est in Gorgoneo,The brilliant one in the Gorgon's head
203,Per,figure,13,Quae istam sequitur,The one following it
204,Per,figure,14,Quae splendidam praecedit,The one preceding the brilliant one
205,Per,figure,15,Reliqua quae istam adhuc praecedit,"The remaining one, preceding that still"
206,Per,figure,16,Quae in genu dextro,The one in the right knee
207,Per,figure,17,Praecedens ipsam et est supra genu,"The one preceding it, above the knee"
208,Per,figure,18,Praecedens de duabus quae supra poplitem,The preceding of the two above the hollow of the knee
209,Per,figure,19,Sequens quae in ipso poplite est,"The following one, at the hollow itself"
210,Per,figure,20,Quae in dextra sura,The one in the right calf
211,Per,figure,21,Quae in talo dextro,The one in the right ankle
212,Per,figure,22,Quae in crure sinistro,The one in the left thigh
213,Per,figure,23,Quae in genu sinistro,The one in the left knee
214,Per,figure,24,Quae in tibia sinistra,The one in the left shin
215,Per,figure,25,Quae in sinistra calcaneo,The one in the left heel
216,Per,figure,26,Quae istam sequitur et est in extremitate pedis sinistri,"The one following it, at the tip of the left foot"
217,Per,unformed,1,Quae ad ortum respectu ejus quae in genu sinistro est,The one to the east of the one in the left knee
218,Per,unformed,2,Quae ad septentrionem respectu earum quae in genu dextro est,The one to the north of those at the right knee
219,Per,unformed,3,Praecedens earum quae in Gorgoneo sunt,The one preceding those in the Gorgon's head
220,Aur,figure,1,Australior de tribus quae sunt in capite,The more southern of those in the head
221,Aur,figure,2,Borealior et est supra caput,"The more northern one, above the head"
222,Aur,figure,3,Quae in humero sinistro et vocatur Capella,"The one in the left shoulder, called Capella"
223,Aur,figure,4,Quae in humero dextro,The one in the right shoulder
224,Aur,figure,5,Quae in cubito dextro,The one in the right elbow
225,Aur,figure,6,Quae in vola dextra,The one in the right palm
226,Aur,figure,7,Quae in cubito sinistro,The one in the left elbow
227,Aur,figure,8,Sequens de duabus quae sunt in vola sinistra et vocantur hoedi,"The following of the two in the left palm, which are called the Kids"
228,Aur,figure,9,Praecedens ipsas,The one preceding them
229,Aur,figure,10,Quae in talo sinistro,The one in the left ankle
230,Aur,figure,11,Quae in talo dextro communis cum Tauri cornu,"The one in the right ankle, shared with the horn of the Bull"
231,Aur,figure,12,Quae ad septentrionem respectu ejus est in extremitate pedis,"The one to the north of it, at the tip of the foot"
232,Aur,figure,13,Adhuc borealior ista et est in vertebro,"Still more northern than that, at the joint"
233,Aur,figure,14,Parva quae est supra sinistrum pedem,The small one above the left foot
234,Oph,figure,1,Quae in capite,The one in the head
235,Oph,figure,2,Praecedens de duabus quae sunt in humero dextro,The preceding of the two in the right shoulder
236,Oph,figure,3,Sequens ipsarum,The following of them
237,Oph,figure,4,Praecedens de duabus quae sunt in humero sinistro,The preceding of the two in the left shoulder
238,Oph,figure,5,Sequens ipsarum,The following of them
239,Oph,figure,6,Quae in cubito sinistro,The one in the left elbow
240,Oph,figure,7,Praecedens de duabus quae sunt in extremitate manus sinistrae,The preceding of the two at the tip of the left hand
241,Oph,figure,8,Sequens ipsarum,The following of them
242,Oph,figure,9,Quae in cubito dextro,The one in the right elbow
243,Oph,figure,10,Praecedens de duabus quae sunt in extremitate manus dextrae,The preceding of the two at the tip of the right hand
244,Oph,figure,11,Sequens ipsarum,The following of them
245,Oph,figure,12,Quae in genu dextro,The one in the right knee
246,Oph,figure,13,Quae in tibia dextra,The one in the right shin
247,Oph,figure,14,Praecedens de quatuor quae sunt in pede dextro,The preceding of the four in the right foot
248,Oph,figure,15,Quae istam sequitur,The one following it
249,Oph,figure,16,Quae adhuc istam sequitur,The one following it still
250,Oph,figure,17,Reliqua de quatuor quae omnes sequitur,"The remaining one of the four, following them all"
251,Oph,figure,18,Quae istas sequitur et tangit calcaneum,"The one following these, touching the heel"
252,Oph,figure,19,Quae in sinistro genu,The one in the left knee
253,Oph,figure,20,Borealior de tribus quae sunt in sinistra tibia secundum rectam lineam,"The northern of the three in the left shin, along a straight line"
254,Oph,figure,21,Media ipsarum,The middle of them
255,Oph,figure,22,Australior de tribus,The more southern of the three
256,Oph,figure,23,Quae in sinistro calcaneo,The one in the left heel
257,Oph,figure,24,Quae tangit plantam sinistri pedis,The one touching the sole of the left foot
258,Oph,unformed,1,Borealior de tribus quae sunt ad ortum humeri dextri,The more northern of the three to the east of the right shoulder
259,Oph,unformed,2,Media de tribus,The middle of the three
260,Oph,unformed,3,Australior ipsarum,The more southern of them
261,Oph,unformed,4,Sequens de tribus quasi supra mediam,"The one following the three, as if above the middle one"
262,Oph,unformed,5,Borealior de quatuor et est solitaria,"The more northern of the four, standing alone"
263,Ser,figure,1,Quae in extremitate maxillae est de illis quae in capite quadrilaterae sunt,"The one at the tip of the jaw, of those in the quadrilateral of the head"
264,Ser,figure,2,Quae nares tangit,The one touching the nostrils
265,Ser,figure,3,Quae in tempore,The one in the temple
266,Ser,figure,4,Quae in radice colli,The one at the root of the neck
267,Ser,figure,5,Media quadrilateri et est in ore,"The middle one of the quadrilateral, in the mouth"
268,Ser,figure,6,Exterior et ad septentrionem capitis,"The one outside, to the north of the head"
269,Ser,figure,7,Quae post primum colli flexum est,The one after the first bend of the neck
270,Ser,figure,8,Borealis de tribus deinceps sequentibus,The northern of the three following next
271,Ser,figure,9,Media de tribus,The middle of the three
272,Ser,figure,10,Australis ipsarum,The southern of them
273,Ser,figure,11,Praecedens manum sinistram Ophiuchi post sequentem flexum,"The one preceding the left hand of Ophiuchus, after the following bend"
274,Ser,figure,12,Sequens eas quae in manu sunt,The one following those in the hand
275,Ser,figure,13,Quae post posteriorem partem dextri cruris Ophiuchi,The one behind the back of Ophiuchus' right thigh
276,Ser,figure,14,Australior de duabus sequentibus istam,The more southern of the two following it
277,Ser,figure,15,Borealior ipsarum,The more northern of them
278,Ser,figure,16,Quae post manum dextram in flexu caudae,"The one behind the right hand, in the bend of the tail"
279,Ser,figure,17,Quae istam sequitur et est in cauda similiter,"The one following it, likewise in the tail"
280,Ser,figure,18,Quae in extrema cauda est,The one at the tip of the tail
281,Sge,figure,1,Quae in ferro sagittae solitaria est,The solitary one in the iron head of the arrow
282,Sge,figure,2,Sequens de tribus quae in arundine sunt,The following of the three in the shaft
283,Sge,figure,3,Media ipsarum,The middle of them
284,Sge,figure,4,Praecedens de tribus,The preceding of the three
285,Sge,figure,5,Quae in extremitate γλυφίδος sagittae,The one at the tip of the arrow's notch
286,Aql,figure,1,Quae in medio capite,The one in the middle of the head
287,Aql,figure,2,Quae istam praecedit et est in collo,"The one preceding it, in the neck"
288,Aql,figure,3,Fulgens quae in occipite et vocatur Aquila,"The brilliant one at the back of the head, called Aquila"
289,Aql,figure,4,Quae prope hanc ad septentrionem est,"The one near it, to the north"
290,Aql,figure,5,Praecedens de duabus quae sunt in humero sinistro,The preceding of the two in the left shoulder
291,Aql,figure,6,Quae istam sequitur,The one following it
292,Aql,figure,7,Praecedens de duabus quae sunt in humero dextro,The preceding of the two in the right shoulder
293,Aql,figure,8,Quae hanc sequitur,The one following it
294,Aql,figure,9,Quae sub Aquilae cauda remotior est et lacteum circulum tangit,"The one far below the Eagle's tail, touching the Milky Way"
295,Aql,unformed,1,Praecedens de duabus quae sunt ab australi capitis parte,The preceding of the two on the southern side of the head
296,Aql,unformed,2,Quae istam sequitur,The one following it
297,Aql,unformed,3,Quae ab austro et africo dextri aquilae humeri est,The one south-southwest of the Eagle's right shoulder
298,Aql,unformed,4,Quae a meridie hujus est,The one to the south of it
299,Aql,unformed,5,Quae australior hac adhuc est,The one more southern still
300,Aql,unformed,6,Quae cunctas praecedit,The one preceding them all
301,Del,figure,1,Praecedens de tribus quae in cauda sunt,The preceding of the three in the tail
302,Del,figure,2,Borealior de duabus reliquis,The more northern of the two remaining
303,Del,figure,3,Australior ipsarum,The more southern of them
304,Del,figure,4,Australis earum quae sunt in antecedente latere quadrilateri rhomboidis,The southern of those on the preceding side of the rhomboid quadrilateral
305,Del,figure,5,Borealior antecedentis lateris,The more northern one of the preceding side
306,Del,figure,6,Australis sequentis lateris rhombi,The southern one of the following side of the rhombus
307,Del,figure,7,Borealis sequentis lateris,The northern one of the following side
308,Del,figure,8,Australis de tribus quae sunt inter caudam et rhombum,The southern of the three between the tail and the rhombus
309,Del,figure,9,Praecedens de duabus reliquis borealibus,The preceding of the two remaining northern ones
310,Del,figure,10,Reliqua de ipsis et sequens,The remaining and following one of them
311,Equ,figure,1,Praecedens duarum quae sunt in capite,The preceding of the two in the head
312,Equ,figure,2,Quae ipsam sequitur,The one following it
313,Equ,figure,3,Praecedens duarum quae in ore sunt,The preceding of the two in the mouth
314,Equ,figure,4,Quae ipsam sequitur,The one following it
315,Peg,figure,1,Quae in umbilico est et communis cum capite Andromedae,"The one at the navel, shared with the head of Andromeda"
316,Peg,figure,2,Quae in lumbis et extremitate pennae,The one at the loins and the wing's tip
317,Peg,figure,3,Quae in humero dextro et in ipsa pedis radice,The one at the right shoulder and the very root of the leg
318,Peg,figure,4,Quae in occipite et humero alae,The one at the back of the head and the wing's shoulder
319,Peg,figure,5,Borealior duarum quae sunt in corpore sub ala,The more northern of the two in the body beneath the wing
320,Peg,figure,6,Australior ipsarum,The more southern of them
321,Peg,figure,7,Borealior duarum quae in genu dextro sunt,The more northern of the two in the right knee
322,Peg,figure,8,Australior ipsarum,The more southern of them
323,Peg,figure,9,Antecedens duarum propinquarum quae in pectore sunt,The preceding of the two close-set stars in the chest
324,Peg,figure,10,Sequens ipsarum,The following of them
325,Peg,figure,11,Praecedens duarum propinquarum quae in collo sunt,The preceding of the two close-set stars in the neck
326,Peg,figure,12,Sequens ipsarum,The following of them
327,Peg,figure,13,Australior duarum quae in juba sunt,The more southern of the two in the mane
328,Peg,figure,14,Borealior ipsarum,The more northern of them
329,Peg,figure,15,Borealior duarum propinquarum quae in capite sunt,The more northern of the two close-set stars in the head
330,Peg,figure,16,Australior ipsarum,The more southern of them
331,Peg,figure,17,Quae in rictu est,The one in the muzzle
332,Peg,figure,18,Quae in dextro talo,The one in the right ankle
333,Peg,figure,19,Quae in genu sinistro,The one in the left knee
334,Peg,figure,20,Quae in talo sinistro,The one in the left ankle
335,And,figure,1,Quae in occipite,The one at the back of the head
336,And,figure,2,Quae in humero dextro,The one in the right shoulder
337,And,figure,3,Quae in humero sinistro,The one in the left shoulder
338,And,figure,4,Australis de tribus quae sunt in dextro brachio,The southern of the three in the right arm
339,And,figure,5,Borealior ipsarum,The more northern of them
340,And,figure,6,Media de tribus,The middle of the three
341,And,figure,7,Australis de tribus quae sunt in extremitate manus dextrae,The southern of the three at the tip of the right hand
342,And,figure,8,Media ipsarum,The middle of them
343,And,figure,9,Borealis de tribus,The northern of the three
344,And,figure,10,Quae in brachio sinistro,The one in the left arm
345,And,figure,11,Quae in cubito sinistro,The one in the left elbow
346,And,figure,12,Australior de tribus quae sunt supra cingulum,The more southern of the three above the girdle
347,And,figure,13,Media ipsarum,The middle of them
348,And,figure,14,Borealis de tribus,The northern of the three
349,And,figure,15,Quae supra pedem sinistrum,The one above the left foot
350,And,figure,16,Quae in pede dextro,The one in the right foot
351,And,figure,17,Australior hac,The one more southern than it
352,And,figure,18,Borealior duarum quae sunt in poplite sinistro,The more northern of the two at the left hollow of the knee
353,And,figure,19,Australior ipsarum,The more southern of them
354,And,figure,20,Quae in genu dextro,The one in the right knee
355,And,figure,21,Borealior duarum quae sunt in syrmate,The more northern of the two in the train of the robe
356,And,figure,22,Australior ipsarum,The more southern of them
357,And,figure,23,Exterior praecedensque de tribus quae sunt in extremitate manus dextrae,The outer and preceding one of the three at the tip of the right hand
358,Tri,figure,1,Quae in vertice trianguli est,The one at the apex of the triangle
359,Tri,figure,2,Praecedens de tribus quae sunt in basi,The preceding of the three in the base
360,Tri,figure,3,Media ipsarum,The middle of them
361,Tri,figure,4,Sequens de tribus,The following of the three
362,Ari,figure,1,Praecedens duarum quae sunt in cornu,The preceding of the two in the horn
363,Ari,figure,2,Sequens ipsarum,The following of them
364,Ari,figure,3,Borealior duarum quae in rictu sunt,The more northern of the two in the muzzle
365,Ari,figure,4,Australior ipsarum,The more southern of them
366,Ari,figure,5,Quae in collo est,The one in the neck
367,Ari,figure,6,Quae in lumbo est,The one in the loin
368,Ari,figure,7,Quae in radice caudae,The one at the root of the tail
369,Ari,figure,8,Praecedens de tribus quae in cauda sunt,The preceding of the three in the tail
370,Ari,figure,9,Media de tribus,The middle of the three
371,Ari,figure,10,Sequens ipsarum,The following of them
372,Ari,figure,11,Quae in posteriore parte cruris est,The one in the hind part of the leg
373,Ari,figure,12,Quae sub poplite,The one below the hollow of the knee
374,Ari,figure,13,Quae in extremitate posterioris pedis,The one at the tip of the hind foot
375,Ari,unformed,1,Quae supra caput est quam Hipparchus in collo dicit,"The one above the head, which Hipparchus places in the neck"
376,Ari,unformed,2,Sequens fulgentiorque de quatuor quae supra lumbos sunt,The following and brighter of the four above the loins
