constellation,stroke_seq,stroke,comment
And,8,right-leg,"From the girdle's northern star: right knee, right foot, and its southern companion."
And,9,train,"The two in the syrma, the robe's train, trailing from the left foot — nearer star first."
Tri,1,sides,Base-ends up to the apex — the sky's own long thin delta.
Tri,2,base,The three in the base.
Ari,1,head,"Horn pair into the muzzle pair — the turned-back head, chin over the shoulder."
Ari,2,back,"The spine: from the horn down to the neck, then along the loin to the tail's root. It passes beneath the reverted muzzle."
Ari,3,tail,The three in the tail.
Ari,4,hind-leg,"Leg, knee-hollow, foot-tip; our line hangs it from the loin."
Tau,1,cut-off,"The four at the abscissio, the line where the half-figure ends."
Tau,2,shoulder-and-chest,"Shoulder-blade and chest, joining the cut to the body."
Tau,3,right-foreleg,Chest to right knee to ankle.
Tau,4,left-foreleg,"Chest to the left elbow, folded up to the left knee."
Tau,5,hyades-face,"The V of the face — northern eye, cheek, nostrils, cheek, Aldebaran in the southern eye."
Tau,6,southern-horn,From the southern eye through the ear-root and horn pair to the tip.
Tau,7,northern-horn,From the northern eye to the horn root and out to the shared tip (Auriga's foot).
Tau,8,northern-ear,The close pair in the northern ear.
Tau,9,neck-pair,The two small stars in the neck.
Tau,10,neck-quadrilateral,The quadrilateral in the neck — preceding and following sides.
Tau,11,pleiades,"The Sisters in a little line: the preceding side's two ends, then the narrow following end."
Tau,12,pleiades-outlier,The small outer Pleiad to the north.
Gem,1,preceding-twin-arm,Castor's head down the arm to the left elbow.
Gem,2,preceding-twin-body,"Head, back of head, right side, left knee — one standing line of ours."
Gem,3,preceding-twin-feet,"The far-foot pair (nearer star first), then the right foot-tip."
Gem,4,embrace,"Our line: the shoulder stars of the two, joined — the brothers touch."
Gem,5,following-twin-body,"Pollux's head, following shoulder, left side, armpit, below-knee — one standing line of ours."
Gem,6,following-twin-feet,"Knee-hollow star, then left and right foot-tips."
Gem,7,castor-shoulder,"The right-shoulder star of the preceding Twin, from his head."
Cnc,1,body,"The quadrilateral around the nebula — preceding pair, then the Asses."
Cnc,2,manger,"The Manger itself, held inside the body; our line ties it to the northern Ass."
Cnc,3,northern-claw,Claw from the northern following corner.
Cnc,4,southern-claw,Claw from the southern following corner.
Cnc,5,northern-foot,Hind foot from the northern preceding corner.
Cnc,6,southern-foot,Hind foot from the southern preceding corner.
Leo,1,head,"Four stars must do for the whole face: nostrils, mouth, then the head pair."
Leo,2,neck,"The neck trio, curving to the heart — with the head, the Sickle."
Leo,3,heart,"Neck into Regulus, with the chest star below."
Leo,4,forward-spur,The star a little ahead of the heart.
Leo,5,right-foreleg,Chest to right knee to forward right paw.
Leo,6,left-foreleg,"Armpit, left knee, forward left paw."
Leo,7,belly,Armpit into the belly trio.
Leo,8,back,Our top line: from the heart along the loins to the rump.
Leo,9,rump,The rump pair.
Leo,10,hind-leg,"Rump down through legs, knee-hollows, shanks, hind paws."
Leo,11,tail,"The tail's tip, Denebola, flying from the rump."
Vir,1,head,The crown pair into the face pair.
Vir,2,southern-wing,"The wing-tip, then the four along the left wing."
Vir,3,wing-root,Our line: face joined to the southern wing's first feather.
Vir,4,northern-wing,"The trio of the right, northern wing, ending at Previndemiatrix."
Vir,5,northern-wing-root,Our line: face joined to the northern wing.
Vir,6,spica,The tip of the left hand — Spica — hung from the wing's last feather.
Vir,7,torso,"The two below-girdle stars, strung from the face by our line."
Vir,8,left-leg,"The four leg stars taken as a leg, not a box: thigh through knees and calf, ending at the southern follower."
Vir,9,left-foot,"Knee, then the southern foot-tip."
Vir,10,right-leg,Hind leg to the northern foot-tip.
Vir,11,train,"The three in the syrma, fanned from the hind leg — the northern fold one way, the southern sweep the other."
Lib,1,southern-claw,"The southern claw opens westward: middle, preceder, then the bright tip."
Lib,2,southern-tip,The dimmer companion above the bright tip.
Lib,3,northern-claw,"Follower, middle, and the bright tip of the northern claw."
Lib,4,northern-tip,The dim star preceding the tip.
Lib,5,hinge,"Our line: the two claw-middles joined, where the pincers meet the Scorpion."
Sco,1,brow,"The three bright ones in the brow, north to south."
Sco,2,foot-spur,The still-more-southern star in one of the feet.
Sco,3,brow-companions,"The close pair adhering to the northernmost bright star, nearer one first."
Sco,4,body,The three bright ones in the body — Antares in the middle.
Sco,5,under-foot,"The pair below the body stars at the end of the foot, walked outward."
Sco,6,tail,"Seven segments in order, then sting: preceding and following barbs."
Sco,7,third-segment-pair,The southern twin of the third segment's pair.
Sgr,1,bow,"Southern arc, grip, northern arc, out to the bow's tip."
Sgr,2,arrow,"The shaft laid straight through the grip, point aimed at the Scorpion."
Sgr,3,head,The three in the head; the nebulous double eye as spur.
Sgr,4,eye,"The nebulous, double eye star."
Sgr,5,left-shoulder,"Head to the left shoulder, the bow-arm."
Sgr,6,northern-cloth,The three in the northern shoulder-cloth with their dim follower; the cloak billows behind the drawn arm.
Sgr,7,southern-cloth,The pair of the southern shoulder-cloth.
Sgr,8,right-arm,"Right shoulder and elbow, the draw-arm."
Sgr,9,back,"The shoulder-blade trio, near the back of the head."
Sgr,10,front-left,"The front left leg: from under the armpit to its knee, then the ankle."
Sgr,11,front-right,"The front right ankle, stepped out from under the armpit."
Sgr,12,hind-right,"The hind right leg, dropped from the tail-root's southern preceder to the elbow star."
Sgr,13,hind-left,"The left shin, dropped from the tail-root's southern follower."
Sgr,14,tail-root,The quadrilateral of four at the root of the tail.
Sgr,15,tail-link,Our line: the back-cloth flows into the root of the tail.
Cap,1,following-horn,The trio of the following horn.
Cap,2,preceding-horn,"The lone horn-tip, curving back to the muzzle's northern star — a goat's horn sweeps over its own neck."
Cap,3,muzzle,"The three in the muzzle drawn round the face, out to the below-eye star."
Cap,4,horn-join,Our line: the two horns joined at the head.
Cap,5,neck,"The neck pair, from below the eye."
Cap,6,forelegs,"Down from the mid-body to the left shoulder, then the bent left knee and below the right knee."
Cap,7,belly,"The close pair below the belly, trailing from the mid-body's follower."
Cap,8,mid-body,From the neck's southern star along the mid-body trio.
Cap,9,back,"The back pair, from the neck's northern star."
Cap,10,southern-spine,The southern spine pair.
Cap,11,tail,The pair at the tail.
Cap,12,tail-fin,"The four in the northern part of the tail, fanned."
Aqr,1,head-and-shoulders,"Right shoulder, head, left shoulder."
Aqr,2,shoulder-companion,The dimmer star below the right shoulder.
Aqr,3,drapery,"From the left shoulder through its companion, then the garment's three west to east."
Aqr,4,right-arm,"Elbow, then the three at the tip of the right hand — the pouring arm."
Aqr,5,torso,"Hip pair, right buttock — one falling line of ours."
Aqr,6,left-hip,The pair in the left buttock.
Aqr,7,right-leg,"Below the knee-hollow, then the shin."
Aqr,8,left-leg,"Back of the leg, below the knee, the shin."
Aqr,9,pour,The stream leaves the hand — first four stars to the bend.
Aqr,10,cascade,"The southern bend, its pair, the solitary drop, the close pair."
Aqr,11,first-coil,The three in the following coil.
Aqr,12,second-coil,"The three next in order likewise, gathered on the way down."
Aqr,13,last-coil,"The remaining coil falling star by star to the last of the water — Fomalhaut, in the Fish's mouth."
Psc,1,west-fish,"Mouth, skull, back, tail, belly — the fish drawn round to its pointed snout."
Psc,2,west-skull,The northern skull star.
Psc,3,southern-cord,"From the tail along the cord — pairs, bright trio, the small bend pair, the after-bend trio, to the Knot."
Psc,4,northern-cord,From the Knot up the northern cord to the tail-tip of the following fish.
Psc,5,east-fish,"One leaping line of ours: tail-fin, belly pair, the mouth pair, then the three small ones of the head."
Psc,6,east-fin,"The southern fin trio, behind the elbow of Andromeda."
Cet,1,jaws,"Nostril-tip, jaw-end, mid-mouth, chin — the open mouth."
Cet,2,brow,"Eye, hair, mane, climbing back from the jaw."
Cet,3,neck,Our line: chin joined to the chest quadrilateral.
Cet,4,chest,The quadrilateral figure in the chest.
Cet,5,body,"The three in the body — southern, middle, northern — slung from the chest corner."
Cet,6,before-tail,The pair by the tail.
Cet,7,tail,The quadrilateral figure in the tail.
Cet,8,tail-join,Our line: the near-tail pair joined to the tail quadrilateral.
Cet,9,flukes,"The two tail-end tips, north and south."
Ori,1,head,The nebulous head set between the two shoulders.
Ori,2,shoulder-drop,The star following below the left shoulder.
Ori,3,right-arm,"Shoulder, elbow, arm, into the four-star fist."
Ori,4,fist,"The quadrilateral at the tip of the right hand, drawn round; its following-southern star is double."
Ori,5,club,"The two in the club, raised from the fist."
Ori,6,shoulder-blade,"The four in the shoulder-blade, 'almost in a straight line' — and drawn as one."
Ori,7,pelt,"The nine in the pelt of the left hand, counted from the northernmost — the raised shield."
Ori,8,pelt-grip,Our line: left shoulder to the pelt's northern end.
Ori,9,torso,Our line: Betelgeuse down to the belt's following end.
Ori,10,torso-west,Our line: Bellatrix down to the belt's preceding end.
Ori,11,belt,The three in the belt.
Ori,12,sword,"The sword swings from the belt's preceding end: hilt, the three joined at the tip, and below."
Ori,13,sword-drop,The pair below the sword's tip.
Ori,14,left-leg,From the belt down the shin to Rigel.
Ori,15,heel,The outer star below the left heel.
Ori,16,right-leg,The star below the right knee; our line hangs it from the belt.
Eri,1,headwaters,"From beside Orion's foot, the first meanders. Pairs zigzag; the line follows the stream."
Eri,2,middle-course,"The two four-star reaches, a little apart."
Eri,3,cetus-reach,"The bend that first touches the chest of Cetus, and the trio beyond."
Eri,4,the-pool,"The four that make almost a quadrangle, drawn round."
Eri,5,pool-entry,Our line: the trio joined to the pool's northern corner.
Eri,6,lower-course,"The eastward pair, the after-bend pair."
Eri,7,last-reach,"The final trio, then the last star of the river, brilliant."
Lep,1,ears,The quadrangular figure in the ears.
Lep,2,head,Ears down to the chin.
Lep,3,foreleg,Chin to the front left foot's tip — the crouch puts them close.
Lep,4,body,"Chin, mid-body, belly."
Lep,5,loins-and-tail,Mid-body to loins to the tail's tip.
Lep,6,hind-feet,"The pair in the hind feet, under the loins."
CMa,1,muzzle,"Sirius in the mouth, up through the head to the ears."
CMa,2,neck,"The neck pair, into the chest."
CMa,3,right-foreleg,"Chest, the right-knee pair, the front foot's tip."
CMa,4,left-foreleg,"The left-knee pair, hung from the chest — nearer star first."
CMa,5,shoulder,"The left-shoulder pair, behind the neck."
CMa,6,body,Shoulder to leg-root to the star between the legs.
CMa,7,hind-leg,"Leg-root, right-foot hollow, right-foot tip."
CMa,8,tail,"The tail, from the leg-root."
CMi,1,the-whole-dog,"Neck to Procyon. There is nothing else, and nothing else is needed."
Arg,1,stern-post,"The pair at the ship's end, with the goose-head ornament above."
Arg,2,stern-shield,"The close pair above the little shield, their preceder, and the brilliant shield-boss."
Arg,3,under-shield,The three below the little shield.
Arg,4,stern-keel,"The keel pair of the stern, under the post."
Arg,5,deck,"The stern deck star, the trio in order, and the brilliant deck star."
Arg,6,deck-dims,The dim pair below the brilliant deck star.
Arg,7,deck-uppers,The pair above the brilliant deck star.
Arg,8,mast-foot,"The three in the little shields, almost at the mast, and the close pair below; the mast steps through the hull."
Arg,9,mast,"Up the mast in order: mid-mast pair, then the tip pair."
Arg,10,hull-line,"Following shield, the cut-off of the decking; our line joins them along the hull."
Arg,11,keel,"Between the oars, the dim follower, the two brilliant keel stars."
Arg,12,keel-run,"The trio that follows, and the pair by the cut-off."
Arg,13,north-oar,"The northern steering-oar, swung out to its far blade."
Arg,14,south-oar,"The southern steering-oar, out to Canopus at the blade."
Hya,1,head,"The five in the head, drawn round — nostrils, eye, skull, chin, gape."
Hya,2,neck,"The neck-root pair, then the trio at the bend."
Hya,3,throat,The close bright-and-dim pair to the south.
Hya,4,first-body,"The trio after the bend, then the straight-line trio."
Hya,5,under-the-cup,The pair behind the base of the Cup.
Hya,6,the-triangle,The three 'almost in a triangle'.
Hya,7,tail,"Past the Crow, near the tail, to the tip."
Crt,1,south-side,"Base, southern mid-bowl, southern rim."
Crt,2,north-side,"Base, northern mid-bowl, northern rim."
Crt,3,south-handle,"The southern handle, off the rim."
Crt,4,north-handle,"The northern handle, off the rim."
Crv,1,head,"Beak (shared with the Snake), neck, breast."
Crv,2,right-wing,"The preceding, right wing."
Crv,3,left-wing,The pair of the following wing.
Crv,4,foot,"The foot, shared with the Snake — the perch made literal."
Cen,1,head,"The four in the head taken in a walk — north pair, then south — a face in few strokes."
Cen,2,shoulders,"Left and right shoulders barred, the head above."
Cen,3,neck,Our line: the head's southernmost star down to the left shoulder.
Cen,4,thyrsus,"The wand from the shoulder-blade, its pairs walked out and around to the tip; the shaft passes before the body."
Cen,5,thyrsus-grip,Our line: left shoulder to shoulder-blade — the carrying arm.
Cen,6,right-arm,"Shoulder, arm, elbow, hand-tip — reaching toward the Beast."
Cen,7,side,"The trio in the right side, down from the shoulder."
Cen,8,the-join,The side into the brilliant star at the join of the human body — where man becomes horse.
Cen,9,join-dims,The two dim ones north of the join.
Cen,10,horse-back,"Start of the shoulder-blade, the back, the loins trio."
Cen,11,right-thigh,The close pair in the right thigh.
Cen,12,horse-chest,"Chest under the armpit, the belly pair."
Cen,13,right-hindleg,"Hollow, ankle of the same foot; the outside star below."
Cen,14,left-hindleg,"Below-hollow and calf of the left foot, dropped from the thigh pair."
Cen,15,forelegs,"From the belly: the left knee, then the stride out to the front right foot's tip."
Lup,1,the-grip,Hind-foot tip (in the Centaur's hand) and the foot's hollow.
Lup,2,body,From the caught foot to mid-body and the shoulder pair.
Lup,3,belly,The belly star below the flank.
Lup,4,hindquarters,"Thigh, the thigh-root pair, the loins."
Lup,5,tail,The trio at the tip of the tail.
Lup,6,neck-and-head,The neck pair into the muzzle pair — straining away.
Lup,7,front-feet,"The pair in the front foot, beneath the neck."
Ara,1,base,The pair in the base.
Ara,2,column,Base to the middle of the altar.
Ara,3,brazier,"The three in the brazier: down to the close pair, then up to the northern one."
Ara,4,flame,The star at the tip — the flame.
CrA,1,wreath,"The ring walked in catalogue order, closed — a fallen crown."
PsA,1,head,"Fomalhaut in the mouth, then the southern curve of the head, near star first."
PsA,2,gills,The gill star closes the body's ring back to the mouth.
PsA,3,belly,"The belly line — the fish floats on its back, so the belly rides north — from the fin to the gills."
PsA,4,north-fin,"The trio of the northern fin, arcing round the western end."
PsA,5,tail,"The tail's tip, hung from the fin's preceding star."
PsA,6,south-side,"The southern flank: head-curve to the dorsal fin, out to the fin's end."
