baily,constellation,member_type,seq,latin,english,caption
83,Cep,figure,9,Australis de tribus quae in tiara sunt,The southern of the three in the tiara,The southern star of the three in the tiara
84,Cep,figure,10,Media ipsarum,The middle of them,The middle star of the tiara
85,Cep,figure,11,Borealis ipsarum,The northern of them,The northern star of the tiara
86,Cep,unformed,1,Praecedens tiaram,The one preceding the tiara,
87,Cep,unformed,2,Sequens tiaram,The one following the tiara,
88,Boo,figure,1,Praecedens de tribus quae sunt in manu sinistra,The preceding of the three in the left hand,The western star of the three in the Herdsman's left hand
89,Boo,figure,2,Media et australior de tribus,The middle and more southern of the three,The middle and southernmost star of the left hand
90,Boo,figure,3,Sequens de tribus,The following of the three,The eastern star of the left hand
91,Boo,figure,4,Quae in sinistro cubito est,The one in the left elbow,The Herdsman's left elbow
92,Boo,figure,5,Quae est in humero sinistro,The one in the left shoulder,The left shoulder
93,Boo,figure,6,Quae est in capite,The one in the head,The star in the Herdsman's head
94,Boo,figure,7,Quae in humero dextro,The one in the right shoulder,"The right shoulder, where the crook rises"
95,Boo,figure,8,Borealior ipsarum et in collorobo,"The more northern of these, in the crook","In the crook's shaft, north of the right shoulder"
96,Boo,figure,9,Adhuc borealior ista et in extremitate collorobi,"Still more northern than that, at the tip of the crook","The tip of the shepherd's crook, northernmost of all"
97,Boo,figure,10,Borealior duarum quae sunt in clava sub humero,The more northern of the two in the club below the shoulder,The northern star of the club below the shoulder
98,Boo,figure,11,Australior ipsarum,The more southern of them,The southern star of the club
99,Boo,figure,12,Quae in extremitate dextrae manus est,The one at the tip of the right hand,The very tip of the right hand
100,Boo,figure,13,Praecedens de duabus quae in vola manus sunt,The preceding of the two in the palm of the hand,The western star of the pair in the palm
101,Boo,figure,14,Sequens ipsarum,The following of them,The eastern star of the pair in the palm
102,Boo,figure,15,Quae in extremitate capuli collorobi,The one at the end of the crook's handle,"The end of the crook's handle, laid across the hand"
103,Boo,figure,16,Quae in crure dextro juxta cingulum,"The one in the right leg, by the belt","The star in the right leg, beside the belt"
104,Boo,figure,17,Sequens de duabus quae in cingulo sunt,The following of the two in the belt,The eastern star of the two in the belt
105,Boo,figure,18,Praecedens ipsarum,The preceding of them,The western star of the two in the belt
106,Boo,figure,19,Quae est in dextro calcaneo,The one in the right heel,The Herdsman's right heel
107,Boo,figure,20,Borealis de tribus quae sunt in sinistra tibia,The northern of the three in the left shin,The northern star of the left-shin trio
108,Boo,figure,21,Media ipsarum,The middle of them,The middle star of the left-shin trio
109,Boo,figure,22,Australis ipsarum,The southern of them,The southern star of the left-shin trio
110,Boo,unformed,1,Quae est inter crura et vocatur Arcturus subrufa,"The one between the thighs, called Arcturus, reddish",
111,CrB,figure,1,Fulgens earum quae sunt in corona,The brilliant one among those in the crown,"The jewel of the Crown — its brilliant star, Alphecca"
112,CrB,figure,2,Quae omnes istas praecedit,The one preceding them all,The star leading the whole arc from the west
113,CrB,figure,3,Borealior quae istam sequitur,The more northern one following it,The northern star at the arc's western end
114,CrB,figure,4,Sequens istam et borealior ista,"The one following that, and more northern still",The small companion riding north of the band
115,CrB,figure,5,Quae fulgentem a meridie sequitur,"The one following the brilliant one, from the south","First follower of the jewel, along the southern arc"
116,CrB,figure,6,Quae istam propius sequitur,The one following it more closely,"The next star east, following close"
117,CrB,figure,7,Quae post istas rursus sequitur,The one following again after these,"The next again, climbing the eastern arc"
118,CrB,figure,8,Sequens cunctas quae in corona sunt,The last of all those in the crown,The last star of all in the Crown
119,Her,figure,1,Quae in capite,The one in the head,"The Kneeler's head, hanging beside the head of Ophiuchus"
120,Her,figure,2,Quae in humero dextro penes axillam seu scapulam,"The one in the right shoulder, by the armpit or shoulder-blade","The right shoulder, by the armpit"
121,Her,figure,3,Quae in brachio dextro,The one in the right arm,The star in the right arm
122,Her,figure,4,Quae in cubito dextro,The one in the right elbow,The right elbow
123,Her,figure,5,Quae in humero sinistro,The one in the left shoulder,The left shoulder
124,Her,figure,6,Quae in brachio sinistro,The one in the left arm,The star in the left arm
125,Her,figure,7,Quae in sinistro cubito,The one in the left elbow,The left elbow
126,Her,figure,8,De tribus quae sunt in sinistra manus vola illa quae sequitur,"Of the three in the palm of the left hand, the one that follows",The eastern star of the three in the open left palm
127,Her,figure,9,Borealis de duabus reliquis,The northern of the remaining two,The northern star of the palm's other two
128,Her,figure,10,Australior ipsarum,The more southern of them,The southern star of the palm's other two
129,Her,figure,11,Quae in dextro latere,The one in the right side,The star in the Kneeler's right side
130,Her,figure,12,Quae in latere sinistro,The one in the left side,The star in the left side
131,Her,figure,13,Borealior ista in vertebro sinistrae coxae,"The one more northern than that, at the joint of the left hip",The joint of the left hip
132,Her,figure,14,Quae in capite cruris ejusdem,The one at the head of the same thigh,The head of the left thigh
133,Her,figure,15,Praecedens de tribus quae sunt in sinistro crure,The preceding of the three in the left thigh,The western star of the trio along the left thigh
134,Her,figure,16,Sequens istam,The one following it,The middle star of the left-thigh trio
135,Her,figure,17,Quae adhuc istam sequitur,The one following it still,The eastern star of the left-thigh trio
136,Her,figure,18,Quae in genu sinistro,The one in the left knee,The bent left knee
137,Her,figure,19,Quae in sinistra sura,The one in the left calf,The left calf
138,Her,figure,20,Praecedens de tribus quae sunt in extremitate pedis sinistri,The preceding of the three at the tip of the left foot,The western star of the three at the left foot's tip
139,Her,figure,21,Media de tribus,The middle of the three,The middle star of the left foot's three
140,Her,figure,22,Sequens ipsarum,The following of them,The eastern star of the left foot's three
141,Her,figure,23,Quae in vertebro coxae dextrae,The one at the joint of the right hip,The joint of the right hip
142,Her,figure,24,Borealior ista in eodem crure,"The one more northern than that, on the same thigh","On the right thigh, north of the hip joint"
143,Her,figure,25,Quae in genu dextro,The one in the right knee,The kneeling right knee
144,Her,figure,26,Australior duarum quae in genu dextro sunt,The more southern of the two in the right knee,The southern of the two stars beside the right knee
145,Her,figure,27,Borealior ipsarum,The more northern of them,The northern of the two stars beside the right knee
146,Her,figure,28,Quae in tibia dextra,The one in the right shin,The right shin
147,Her,figure,29,Quae in extremitate dextri pedis est ipsa eadem in extremitate collorobi,The one at the tip of the right foot — the very same as the tip of the crook,The tip of the right foot — the very star that tips the Herdsman's crook
148,Her,unformed,1,Australior illa quae est in brachio dextro,The one more southern than that in the right arm,
149,Lyr,figure,1,Fulgens quae in testa est et vocatur Lyra,"The brilliant one on the shell, called Lyra","The brilliant star on the shell, called Lyra — Vega"
150,Lyr,figure,2,Borealis de duabus quae isti adhaerent,The northern of the two adjoining it,The northern of the two faint stars beside Vega
151,Lyr,figure,3,Australior ipsarum,The more southern of them,The southern of the two faint stars beside Vega
152,Lyr,figure,4,Quae istas sequitur et media inter ortum cornuum,"The one following these, midway between the springing of the horns",The star midway between the springing of the two horns
153,Lyr,figure,5,Borealior de duabus contiguis quae sunt ad orientalem testae partem,The more northern of the two close-set stars at the eastern part of the shell,The northern of the close pair at the shell's eastern edge
154,Lyr,figure,6,Australior ipsarum,The more southern of them,The southern of that close pair
155,Lyr,figure,7,Borealior duarum praecedentium quae in jugo lyrae sunt,The more northern of the two preceding stars in the yoke,The northern-west corner of the yoke's parallelogram
156,Lyr,figure,8,Australior ipsarum,The more southern of them,The southern-west corner of the yoke
157,Lyr,figure,9,Borealior duarum sequentium quae in jugo lyrae sunt,The more northern of the two following stars in the yoke,The northern-east corner of the yoke
158,Lyr,figure,10,Australior ipsarum,The more southern of them,The southern-east corner of the yoke
159,Cyg,figure,1,Quae est in ore,The one in the beak,The star in the Bird's beak — Albireo
160,Cyg,figure,2,Quae istam sequitur et est in capite,"The one following it, in the head","The star in the head, behind the beak"
161,Cyg,figure,3,Quae in medio collo,The one in the middle of the neck,The middle of the long neck
162,Cyg,figure,4,Quae in pectore,The one in the breast,The Bird's breast
163,Cyg,figure,5,Fulgens quae in cauda est,The brilliant one in the tail,The brilliant star in the tail — Deneb
164,Cyg,figure,6,Quae in cubito alae dextrae est,The one in the elbow of the right wing,The elbow of the right wing
165,Cyg,figure,7,Australis de tribus quae sunt in pectine dextrae alae,The southern of the three in the feather-edge of the right wing,The southern star of the right wing's feather-edge
166,Cyg,figure,8,Media de tribus,The middle of the three,The middle star of the right wing's feather-edge
167,Cyg,figure,9,Borealis ipsarum quae est in extremitate pectinis,"The northern of them, at the tip of the feather-edge",The tip of the right wing's feather-edge
168,Cyg,figure,10,Quae in cubito alae sinistrae,The one in the elbow of the left wing,The elbow of the left wing
169,Cyg,figure,11,Borealior ipsarum et in medio ejusdem alae,"The one more northern than that, in the middle of the same wing","The middle of the left wing, north of its elbow"
170,Cyg,figure,12,Quae in extremitate pectinis alae sinistrae,The one at the tip of the feather-edge of the left wing,The tip of the left wing's feather-edge
171,Cyg,figure,13,Quae in pede sinistro,The one in the left foot,The Bird's left foot
172,Cyg,figure,14,Quae in genu sinistro,The one in the left knee,"The left knee, tucked beneath"
173,Cyg,figure,15,Praecedens de duabus quae sunt in pede dextro,The preceding of the two in the right foot,The western star of the pair in the right foot
174,Cyg,figure,16,Sequens ipsarum,The following of them,The eastern star of that pair
175,Cyg,figure,17,Quae in genu dextro nubi similis,"The one in the right knee, like a little cloud",The right knee — a star like a little cloud
176,Cyg,unformed,1,Australior duarum quae sunt sub ala sinistra,The more southern of the two beneath the left wing,
177,Cyg,unformed,2,Borealior ipsarum,The more northern of them,
178,Cas,figure,1,Quae in capite,The one in the head,The Queen's head
179,Cas,figure,2,Quae in pectore,The one in the breast,The star in her breast — Schedar
180,Cas,figure,3,Borealior ipsa et est in cingulo,"The one more northern than that, in the girdle",The girdle at her waist
181,Cas,figure,4,Quae supra sedem in cruribus est,"The one above the seat, at the thighs","Her thighs, resting on the seat"
182,Cas,figure,5,Quae in genibus,The one in the knees,The star at her knees
183,Cas,figure,6,Quae in tibia,The one in the shin,The shin below
184,Cas,figure,7,Quae in extremitate pedis,The one at the tip of the foot,The tip of her foot
185,Cas,figure,8,Quae in sinistro brachio,The one in the left arm,"Her left arm, reaching from the breast"
186,Cas,figure,9,Quae sub cubito sinistro,The one below the left elbow,Below the left elbow
187,Cas,figure,10,Quae in brachio dextro,The one in the right arm,Her right arm
188,Cas,figure,11,Quae supra pedem sedis est,The one above the foot of the seat,"The throne, above the foot of the seat"
189,Cas,figure,12,Quae in media sede seu cathedra,"The one in the middle of the seat, the throne itself",The middle of the seat — the throne itself
190,Cas,figure,13,Quae in extremitate sedis,The one at the edge of the seat,The edge of the seat
191,Per,figure,1,Quae in dextrae manus extremitate et est nebulosa,"The one at the tip of the right hand, and it is nebulous",The raised right hand — a nebulous smudge that is two whole star-clusters
192,Per,figure,2,Quae in dextro cubito,The one in the right elbow,The right elbow of the sword arm
193,Per,figure,3,Quae in humero dextro,The one in the right shoulder,The right shoulder
194,Per,figure,4,Quae in humero sinistro,The one in the left shoulder,The left shoulder
195,Per,figure,5,Quae in capite,The one in the head,The hero's head
196,Per,figure,6,Quae in occipite,The one at the back of the head,The back of the head
197,Per,figure,7,Fulgens quae est in dextro latere Persei,The brilliant one in the right side of Perseus,The brilliant star in Perseus' right side — Mirfak
198,Per,figure,8,Praecedens de tribus quae sunt post illam quae est in latere,The preceding of the three that follow the one in the side,The western star of the three trailing the side
199,Per,figure,9,Media de tribus,The middle of the three,The middle star of that trailing trio
200,Per,figure,10,Sequens ipsarum,The following of them,The eastern star of that trailing trio
201,Per,figure,11,Quae in cubito sinistro,The one in the left elbow,"The left elbow, from which the Gorgon swings"
202,Per,figure,12,Fulgens quae est in Gorgoneo,The brilliant one in the Gorgon's head,"The brilliant star in the Gorgon's head — Algol, the winking demon"
203,Per,figure,13,Quae istam sequitur,The one following it,The star just east of Algol in the severed head
204,Per,figure,14,Quae splendidam praecedit,The one preceding the brilliant one,The star just west of Algol
205,Per,figure,15,Reliqua quae istam adhuc praecedit,"The remaining one, preceding that still",The far western star of the Gorgon's face
206,Per,figure,16,Quae in genu dextro,The one in the right knee,The right knee
207,Per,figure,17,Praecedens ipsam et est supra genu,"The one preceding it, above the knee","Above the right knee, to its west"
208,Per,figure,18,Praecedens de duabus quae supra poplitem,The preceding of the two above the hollow of the knee,The western star of the pair above the knee-hollow
209,Per,figure,19,Sequens quae in ipso poplite est,"The following one, at the hollow itself",The star at the knee-hollow itself
210,Per,figure,20,Quae in dextra sura,The one in the right calf,The right calf
211,Per,figure,21,Quae in talo dextro,The one in the right ankle,The right ankle
212,Per,figure,22,Quae in crure sinistro,The one in the left thigh,The left thigh
213,Per,figure,23,Quae in genu sinistro,The one in the left knee,The left knee
214,Per,figure,24,Quae in tibia sinistra,The one in the left shin,The left shin
215,Per,figure,25,Quae in sinistra calcaneo,The one in the left heel,The left heel
216,Per,figure,26,Quae istam sequitur et est in extremitate pedis sinistri,"The one following it, at the tip of the left foot",The tip of the striding left foot
217,Per,unformed,1,Quae ad ortum respectu ejus quae in genu sinistro est,The one to the east of the one in the left knee,
218,Per,unformed,2,Quae ad septentrionem respectu earum quae in genu dextro est,The one to the north of those at the right knee,
219,Per,unformed,3,Praecedens earum quae in Gorgoneo sunt,The one preceding those in the Gorgon's head,
220,Aur,figure,1,Australior de tribus quae sunt in capite,The more southern of those in the head,The southern star in the Charioteer's head
221,Aur,figure,2,Borealior et est supra caput,"The more northern one, above the head","The northern star, above the head"
222,Aur,figure,3,Quae in humero sinistro et vocatur Capella,"The one in the left shoulder, called Capella",The she-goat on the left shoulder — Capella
223,Aur,figure,4,Quae in humero dextro,The one in the right shoulder,The right shoulder — Menkalinan
224,Aur,figure,5,Quae in cubito dextro,The one in the right elbow,"The right elbow, holding the reins"
225,Aur,figure,6,Quae in vola dextra,The one in the right palm,The right palm
226,Aur,figure,7,Quae in cubito sinistro,The one in the left elbow,"The left elbow, where the Kids nestle"
227,Aur,figure,8,Sequens de duabus quae sunt in vola sinistra et vocantur hoedi,"The following of the two in the left palm, which are called the Kids",The eastern of the two Kids in the left palm
228,Aur,figure,9,Praecedens ipsas,The one preceding them,The western of the two Kids
229,Aur,figure,10,Quae in talo sinistro,The one in the left ankle,The left ankle
230,Aur,figure,11,Quae in talo dextro communis cum Tauri cornu,"The one in the right ankle, shared with the horn of the Bull",The right ankle — one star shared with the tip of the Bull's horn
231,Aur,figure,12,Quae ad septentrionem respectu ejus est in extremitate pedis,"The one to the north of it, at the tip of the foot","North of the shared ankle, at the tip of the foot"
232,Aur,figure,13,Adhuc borealior ista et est in vertebro,"Still more northern than that, at the joint","Further north still, at the joint"
233,Aur,figure,14,Parva quae est supra sinistrum pedem,The small one above the left foot,The small star above the left foot
234,Oph,figure,1,Quae in capite,The one in the head,"The Serpent-Bearer's head, crown to crown with the Kneeler"
235,Oph,figure,2,Praecedens de duabus quae sunt in humero dextro,The preceding of the two in the right shoulder,The western star of the right shoulder pair
236,Oph,figure,3,Sequens ipsarum,The following of them,The eastern star of the right shoulder pair
237,Oph,figure,4,Praecedens de duabus quae sunt in humero sinistro,The preceding of the two in the left shoulder,The western star of the left shoulder pair
238,Oph,figure,5,Sequens ipsarum,The following of them,The eastern star of the left shoulder pair
239,Oph,figure,6,Quae in cubito sinistro,The one in the left elbow,The left elbow
240,Oph,figure,7,Praecedens de duabus quae sunt in extremitate manus sinistrae,The preceding of the two at the tip of the left hand,"The western star of the left fist, gripping the serpent's neck"
241,Oph,figure,8,Sequens ipsarum,The following of them,The eastern star of the left fist
242,Oph,figure,9,Quae in cubito dextro,The one in the right elbow,The right elbow
243,Oph,figure,10,Praecedens de duabus quae sunt in extremitate manus dextrae,The preceding of the two at the tip of the right hand,"The western star of the right fist, far down the serpent's tail"
244,Oph,figure,11,Sequens ipsarum,The following of them,The eastern star of the right fist
245,Oph,figure,12,Quae in genu dextro,The one in the right knee,The right knee
246,Oph,figure,13,Quae in tibia dextra,The one in the right shin,The right shin
247,Oph,figure,14,Praecedens de quatuor quae sunt in pede dextro,The preceding of the four in the right foot,The westernmost of the four stars in the right foot
248,Oph,figure,15,Quae istam sequitur,The one following it,"Second of the four foot stars, going east"
249,Oph,figure,16,Quae adhuc istam sequitur,The one following it still,Third of the four foot stars
250,Oph,figure,17,Reliqua de quatuor quae omnes sequitur,"The remaining one of the four, following them all","The last of the four, easternmost in the foot"
251,Oph,figure,18,Quae istas sequitur et tangit calcaneum,"The one following these, touching the heel","The star behind them, touching the heel"
252,Oph,figure,19,Quae in sinistro genu,The one in the left knee,The left knee
253,Oph,figure,20,Borealior de tribus quae sunt in sinistra tibia secundum rectam lineam,"The northern of the three in the left shin, along a straight line",The northern star of the straight left-shin trio
254,Oph,figure,21,Media ipsarum,The middle of them,The middle star of the left-shin trio
255,Oph,figure,22,Australior de tribus,The more southern of the three,The southern star of the left-shin trio
256,Oph,figure,23,Quae in sinistro calcaneo,The one in the left heel,The left heel
257,Oph,figure,24,Quae tangit plantam sinistri pedis,The one touching the sole of the left foot,The star touching the sole of the left foot
258,Oph,unformed,1,Borealior de tribus quae sunt ad ortum humeri dextri,The more northern of the three to the east of the right shoulder,
259,Oph,unformed,2,Media de tribus,The middle of the three,
260,Oph,unformed,3,Australior ipsarum,The more southern of them,
261,Oph,unformed,4,Sequens de tribus quasi supra mediam,"The one following the three, as if above the middle one",
262,Oph,unformed,5,Borealior de quatuor et est solitaria,"The more northern of the four, standing alone",
263,Ser,figure,1,Quae in extremitate maxillae est de illis quae in capite quadrilaterae sunt,"The one at the tip of the jaw, of those in the quadrilateral of the head","The tip of the Serpent's jaw, a corner of the head"
264,Ser,figure,2,Quae nares tangit,The one touching the nostrils,The corner star touching the nostrils
265,Ser,figure,3,Quae in tempore,The one in the temple,The corner star at the temple
266,Ser,figure,4,Quae in radice colli,The one at the root of the neck,The corner star at the root of the neck
267,Ser,figure,5,Media quadrilateri et est in ore,"The middle one of the quadrilateral, in the mouth","Inside the head's quadrilateral, in the open mouth"
268,Ser,figure,6,Exterior et ad septentrionem capitis,"The one outside, to the north of the head",The loose star north of the head
269,Ser,figure,7,Quae post primum colli flexum est,The one after the first bend of the neck,The star after the neck's first bend
270,Ser,figure,8,Borealis de tribus deinceps sequentibus,The northern of the three following next,The northern star of the trio following the bend
271,Ser,figure,9,Media de tribus,The middle of the three,The middle star of that trio
272,Ser,figure,10,Australis ipsarum,The southern of them,The southern star of that trio
273,Ser,figure,11,Praecedens manum sinistram Ophiuchi post sequentem flexum,"The one preceding the left hand of Ophiuchus, after the following bend",The coil just west of Ophiuchus' left hand
274,Ser,figure,12,Sequens eas quae in manu sunt,The one following those in the hand,The coil just past his left hand
275,Ser,figure,13,Quae post posteriorem partem dextri cruris Ophiuchi,The one behind the back of Ophiuchus' right thigh,The star behind Ophiuchus' right thigh
276,Ser,figure,14,Australior de duabus sequentibus istam,The more southern of the two following it,The southern of the two stars beyond the thigh
277,Ser,figure,15,Borealior ipsarum,The more northern of them,The northern of those two
278,Ser,figure,16,Quae post manum dextram in flexu caudae,"The one behind the right hand, in the bend of the tail","The bend of the tail, past his right hand"
279,Ser,figure,17,Quae istam sequitur et est in cauda similiter,"The one following it, likewise in the tail",The next star out along the tail
280,Ser,figure,18,Quae in extrema cauda est,The one at the tip of the tail,The very tip of the Serpent's tail
281,Sge,figure,1,Quae in ferro sagittae solitaria est,The solitary one in the iron head of the arrow,The solitary star in the Arrow's iron head
282,Sge,figure,2,Sequens de tribus quae in arundine sunt,The following of the three in the shaft,The eastern star of the three in the reed shaft
