hr,name,flamsteed,bayer,bayer_sup,cst,hd,sao,var_id,ra_deg_j2000,dec_deg_j2000,vmag,vmag_code,b_v,sp_type,pm_ra_arcsec,pm_de_arcsec,parallax_arcsec,is_ghost
570,   Eta2Hyi,,Eta,2,Hyi,11977,248460,,28.73375,-67.647222,4.69,,0.95,G8.5III,0.074,0.074,,false
571,,,,,,11995,248464,,28.943333,-60.861389,6.06,,0.37,F0IV-V,0.004,0.056,,false
572,,,,,,12005,4555,,30.738333,77.916389,6.04,,1.14,K0,-0.004,-0.002,,false
573,,,,,,12042,232581,,29.250417,-51.766111,6.1,,0.48,F6-7V,0.359,0.248,0.056,false
574,,,,,,12055,215715,,29.291667,-47.385,4.83,,0.88,G8III,0.103,0.016,0.021,false
575, 48    Cas,48,,,Cas,12111,4554,694,30.489167,70.906944,4.54,,0.16,A3IV,-0.067,0.004,0.035,false
576,,,,,,12135,193422,,29.61125,-33.066667,6.35,,1.02,K0III,0.008,-0.02,,false
577,,,,,,12139,75077,,29.89875,21.058333,5.87,,1.03,K0III-IV,0.139,-0.022,,false
578,,,,,,12140,92739,,29.857917,12.294722,6.09,,0.19,A6V,0.008,-0.042,,false
579,,,,,,12173,4559,,30.79375,73.850556,6.23,R,,A5III,-0.029,-0.005,0.004,false
580, 50    Cas,50,,,Cas,12216,4560,,30.85875,72.421389,3.98,,-0.01,A2V,-0.045,0.022,,false
581, 47    Cas,47,,,Cas,12230,4562,,31.280833,77.281389,5.38,,0.31,F0Vn,0.125,-0.056,0.028,false
582,112    Psc,112,,,Psc,12235,110266,691,30.038333,3.097222,5.88,,0.62,G2IV,0.231,-0.251,0.034,false
583, 57    Cet,57,,,Cet,12255,167466,,29.942083,-20.824444,5.41,,1.65,M1III,0.008,0.019,,false
584,,,,,,12270,248472,,29.473333,-65.424722,6.37,,0.9,G8II-III,-0.01,-0.013,,false
585, 59Ups Cet,59,Ups,,Cet,12274,167471,,30.00125,-21.077778,4.0,,1.57,M0III,0.135,-0.024,0.007,false
586, 52    Cas,52,,,Cas,12279,12095,,30.719583,64.901389,6.0,,0.03,A1Vn,-0.002,-0.015,,false
587,,,,,,12292,129624,AR Cet,30.112083,-8.523611,5.51,,1.52,M3III,0.096,-0.01,,false
588,,,,,,12296,215726,,29.911667,-42.030556,5.57,,1.06,K1III,-0.054,-0.103,0.018,false
589, 53    Cas,53,,,Cas,12301,12097,,30.75125,64.39,5.58,,0.38,B8Ib,0.005,-0.005,,false
590,  4    Per,4,,,Per,12303,22859,,30.575417,54.4875,5.04,,-0.08,B8III,0.035,-0.002,,false
591,   Alp Hyi,,Alp,,Hyi,12311,248474,,29.6925,-61.569722,2.86,,0.28,F0V,0.264,0.027,0.048,false
592, 49    Cas,49,,,Cas,12339,4565,,31.38,76.115,5.22,,0.95,G8III,-0.022,-0.021,0.022,false
593,   Sig Hyi,,Sig,,Hyi,12363,255835,,28.960417,-78.348333,6.16,,0.44,F5-6IV-V,0.096,0.06,,false
594,   Pi  For,,Pi,,For,12438,193455,,30.31125,-30.001667,5.35,,0.88,G5III,-0.104,-0.109,0.017,false
595,113Alp Psc,113,Alp,,Psc,12446,,,30.511667,2.763611,5.23,H,,A3m,0.033,-0.005,0.005,false
596,113Alp Psc,113,Alp,,Psc,12447,110291,705,30.511667,2.763611,4.33,H,0.03,A0pSiSr,0.033,-0.005,0.005,false
597,,,,,,12467,344,,32.355417,81.295833,6.05,,0.11,A1V,-0.036,0.006,,false
598,,,,,,12468,12105,,31.167083,65.103333,6.52,,0.0,A0V,0.051,-0.032,,false
599,  3Eps Tri,3,Eps,,Tri,12471,55218,707,30.741667,33.283889,5.5,,0.03,A2V,-0.016,-0.013,0.01,false
600,,,,,,12477,248476,,29.92125,-66.066389,6.1,,1.17,K1III,0.032,0.006,,false
601,,,,,,12479,92763,,30.646667,13.476667,5.94,,1.59,M2III,0.016,-0.01,,false
602,   Chi Phe,,Chi,,Phe,12524,215739,,30.426667,-44.713611,5.14,,1.49,K5III,-0.028,-0.053,-0.019,false
603, 57Gam1And,57,Gam,1,And,12533,37734,,30.975,42.329722,2.26,,1.37,K3-IIb,0.045,-0.052,0.013,false
604, 57Gam2And,57,Gam,2,And,12534,37735,,30.977917,42.330833,4.84,,0.03,B8V+A0V,0.037,-0.055,0.013,false
605, 10    Ari,10,,,Ari,12558,75114,,30.91375,25.935556,5.63,,0.54,F8IV,0.134,0.022,0.025,false
606,,,,,,12563,167511,,30.617083,-29.665,6.42,,0.14,A3III,-0.033,0.027,,false
607, 60    Cet,60,,,Cet,12573,129655,,30.79875,0.128333,5.43,,0.15,A5III,0.079,0.017,,false
608,,,,,,12583,148170,,30.744167,-15.305833,5.86,,0.98,G3IV,0.028,0.011,,false
609,,,,,,12594,92774,,30.9275,18.253333,6.21,,1.42,gK4,-0.007,-0.018,,false
610, 61    Cet,61,,,Cet,12641,129667,711,30.950833,-0.340278,5.93,,0.88,G5II-III+G5V,0.079,-0.046,,false
611,,,,,,12642,129665,,30.91875,-4.103611,5.62,,1.59,K5I:,0.006,-0.068,,false
612,   Nu  For,,Nu,,For,12767,167532,Nu  For,31.1225,-29.296944,4.69,,-0.17,B9.5pSi,0.012,0.008,,false
613, 12Kap Ari,12,Kap,,Ari,12869,75146,,31.64125,22.648333,5.03,,0.11,A2m,0.018,-0.035,,false
614,,,,,,12872,110337,WZ Psc,31.55125,8.2475,6.31,,1.65,M2III:,-0.005,-0.036,,false
615, 11    Ari,11,,,Ari,12885,75149,,31.705,25.704722,6.15,,-0.03,B9IV-Vn,0.017,-0.011,,false
616,,,,,,12923,129695,,31.622083,0.035,6.28,,0.9,K0,0.064,-0.01,,false
617, 13Alp Ari,13,Alp,,Ari,12929,75151,725,31.793333,23.4625,2.0,,1.15,K2-IIICa-1,0.19,-0.148,0.049,false
618,,,,,,12953,22959,V472 Per,32.16875,58.423611,5.67,,0.61,A1Ia,-0.011,0.003,,false
619,,,,,,13013,37794,,32.14,44.459444,6.42,R,,G8III-IV,0.016,-0.051,,false
620, 58    And,58,,,And,13041,55289,,32.122083,37.859167,4.82,,0.12,A5IV-V,0.157,-0.044,0.006,false
621,,,,,,13137,22993,,32.5325,53.843056,6.31,,0.95,G8III,0.027,-0.043,,false
622,  4Bet Tri,4,Bet,,Tri,13161,55306,,32.385833,34.987222,3.0,,0.14,A5III,0.15,-0.04,0.022,false
623, 14    Ari,14,,,Ari,13174,75171,,32.355417,25.939722,4.98,,0.33,F2III,0.075,-0.039,,false
624,,,,,,13201,92810,,32.34625,17.224444,6.43,,,F5V,0.142,-0.181,,false
625,,,,,,13215,148237,732,32.190417,-17.779444,6.1,,1.61,M2III,-0.002,-0.032,,false
626,,,,,,13222,4599,,33.338333,74.027778,6.29,,0.91,G8III,0.048,-0.037,,false
627,  5    Per,5,,,Per,13267,23011,Var?,32.870833,57.645833,6.36,,0.33,B5Ia,-0.013,0.005,,false
628, 59    And,59,,,And,13294,55330,,32.72,39.039444,5.63,,-0.02,B9V,-0.015,-0.018,0.01,false
629, 59    And,59,,,And,13295,55331,,32.72375,39.043056,6.1,,-0.07,A1Vn,-0.009,-0.026,0.01,false
630,,,,,,13305,167599,,32.395,-24.345833,6.48,,0.29,F4III,-0.027,-0.044,,false
631, 15    Ari,15,,,Ari,13325,92822,738,32.656667,19.500278,5.7,,1.65,M3IIIab,0.088,-0.028,,false
632,,,,,,13336,215785,,32.28875,-43.516667,5.85,,1.19,K1III,-0.048,-0.053,,false
633, 16    Ari,16,,,Ari,13363,75188,,32.8,25.936944,6.02,,1.36,gK4,-0.007,-0.01,,false
634,  5    Tri,5,,,Tri,13372,55338,740,32.854167,31.526389,6.23,,0.11,A1m,0.035,-0.013,,false
635, 64    Cet,64,,,Cet,13421,110390,,32.837917,8.569722,5.63,,0.56,G0IV,-0.139,-0.112,0.034,false
636,,,,,,13423,215794,,32.520417,-43.815556,6.32,,0.9,G8III,0.059,-0.009,,false
637,,,,,,13445,232658,,32.606667,-50.824444,6.12,,0.82,K1V,2.119,0.641,0.09,false
638,,,,,,13456,148262,,32.8425,-10.052222,6.01,,0.39,F5V,-0.022,-0.166,,false
639, 63    Cet,63,,,Cet,13468,129739,,32.899167,-1.825278,5.93,,0.97,gG9,-0.008,-0.031,,false
640, 55    Cas,55,,,Cas,13474,12180,753,33.62125,66.524444,6.07,,0.63,G0II-III+B9V,-0.006,-0.006,,false
641,,,,,,13476,23044,,33.422917,58.561111,6.44,,0.6,A3Iab,-0.012,0.02,,false
642,  6    Tri,6,,,Tri,13480,55347,TZ Tri,33.092917,30.303056,4.94,,0.78,G5III+F5V,-0.064,-0.063,0.004,false
643, 60    And,60,,,And,13520,37867,746,33.305417,44.231667,4.83,,1.48,K3.5IIIBa0.5:,-0.02,-0.016,,false
644,,,,,,13522,75203,,33.15625,24.167778,5.96,,1.37,K0,0.041,-0.006,,false
645,,,,,,13530,23047,747,33.40125,51.065833,5.31,,0.93,G8III:,0.346,-0.171,0.009,false
646, 17Eta Ari,17,Eta,,Ari,13555,75204,,33.200417,21.210833,5.27,,0.43,F5V,0.161,0.003,,false
647,,,,,,13594,37878,,33.510833,47.484167,6.06,,0.4,F4V,-0.063,-0.059,0.036,false
648, 19    Ari,19,,,Ari,13596,92841,748,33.26375,15.279722,5.71,,1.55,M0III,0.097,-0.023,,false
649, 65Xi 1Cet,65,Xi,1,Cet,13611,110408,749,33.25,8.846667,4.37,,0.89,G6II-IIICN-2,-0.022,-0.009,0.022,false
650, 66    Cet,66,,,Cet,13612,129752,,33.197917,-2.393611,5.54,,0.57,F8V,0.37,-0.069,0.045,false
651,,,,,,13692,167637,,33.25375,-21.000278,5.86,,1.01,G9III,0.05,0.035,,false
652,   Mu  For,,Mu,,For,13709,193573,,33.227083,-30.723889,5.28,,-0.02,B9V,0.018,0.006,0.064,false
653,,,,,,13818,37905,,33.99125,47.811389,6.33,R,,G9III-IV,0.062,-0.071,,false
654,,,,,,13854,23115,Var?,34.215417,57.055278,6.48,,0.28,B1Iab,0.001,-0.002,,false
655,  7    Tri,7,,,Tri,13869,55397,,33.984167,33.358889,5.28,,-0.01,A0V,-0.017,-0.038,,false
656, 20    Ari,20,,,Ari,13871,75239,,33.941667,25.783056,5.79,,0.44,F6IV-V,0.176,-0.063,,false
657, 21    Ari,21,,,Ari,13872,75238,,33.928333,25.043056,5.58,,0.49,F6V,-0.088,-0.087,0.015,false
658,,,,,,13936,129781,,33.867917,-9.465556,6.55,,-0.02,A0V,-0.003,0.031,,false
659,,,,,,13940,215831,,33.633333,-41.166667,5.91,,0.97,G8III,-0.013,-0.028,,false
660,  8Del Tri,8,Del,,Tri,13974,55420,,34.263333,34.224167,4.87,,0.61,G0.5V,1.154,-0.245,0.093,false
661,  8    Per,8,,,Per,13982,23143,,34.499583,57.899722,5.75,,1.17,K3III,0.063,0.005,,false
662,  7    Per,7,,,Per,13994,23149,,34.51875,57.516667,5.98,,1.05,G7III,-0.019,0.006,,false
663,,,,,,14028,,W And,34.389167,44.306944,6.7,,,M7-8Se,0.041,0.083,,false
664,  9Gam Tri,9,Gam,,Tri,14055,55427,,34.32875,33.847222,4.01,,0.02,A1Vnn,0.047,-0.051,0.039,false
665,,,,,,14067,75262,,34.293333,23.767778,6.55,,1.02,G9III,-0.033,-0.039,,false
666, 67    Cet,67,,,Cet,14129,129798,,34.245833,-6.422222,5.51,,0.96,G8.5III,0.093,-0.108,,false
667,   Pi 1Hyi,,Pi,1,Hyi,14141,248518,767,33.56125,-67.841667,5.55,,1.55,M1III,0.037,0.037,0.013,false
668,,,,,,14171,12226,,35.05375,64.337222,6.6,,-0.03,B9.5V,-0.019,0.018,,false
669, 22The Ari,22,The,,Ari,14191,92877,,34.53125,19.901111,5.62,,0.01,A1Vn,-0.013,-0.002,,false
670, 62    And,62,,,And,14212,37948,,34.82,47.38,5.3,,-0.01,A1V,-0.059,-0.008,0.015,false
671,,,,,,14213,37947,,34.795417,46.4725,6.21,,,A4V,-0.014,-0.009,,false
672,,,,,,14214,110456,,34.505833,1.757778,5.58,,0.6,G0.5IVb,0.368,0.369,0.038,false
673,,,,,,14221,37949,,34.844583,48.955278,6.37,R,,F4V,-0.093,0.068,,false
674,   Phi Eri,,Phi,,Eri,14228,232696,,34.1275,-51.512222,3.56,,-0.12,B8V-IV,0.096,-0.027,,false
675, 10    Tri,10,,,Tri,14252,75276,,34.7375,28.6425,5.03,,0.04,A2V,0.011,-0.006,,false
676,,,,,,14262,75277,,34.741667,23.167778,6.46,,0.34,A1V+F3III,0.0,-0.005,,false
677,,,,,,14272,55453,,34.905417,39.835,6.63,,-0.09,B8V,0.033,-0.01,,false
678,   Pi 2Hyi,,Pi,2,Hyi,14287,248521,,33.86875,-67.746389,5.69,,1.3,K2III,0.035,-0.016,,false
679,,,,,,14372,37955,,35.1725,47.310833,6.11,,-0.08,B5V,0.007,-0.007,,false
680,,,,,,14373,75287,,35.018333,30.188333,6.47,R,,K0,0.016,-0.023,,false
681, 68Omi Cet,68,Omi,,Cet,14386,129825,Omi Cet,34.83625,-2.9775,3.04,,1.42,M7IIIe+Bep,-0.008,-0.237,0.024,false
682, 63    And,63,,,And,14392,37960,790,35.2425,50.151389,5.59,,-0.13,B9pSi,0.034,-0.027,,false
683,,,,,,14412,167697,,34.74375,-25.945556,6.34,,0.73,G5V,-0.214,0.448,0.089,false
684,,,,,,14417,129830,,34.92,-4.345556,6.5,,0.08,A3V,0.041,0.005,,false
685,  9    Per,9,,,Per,14489,23256,V474 Per,35.589167,55.845556,5.17,,0.37,A2Ia,-0.002,-0.002,,false
686,,,,,,14509,215860,,34.852917,-41.848333,6.37,,1.16,K2III,0.009,0.023,,false
687,,,,,,14622,37986,,35.709583,41.396389,5.82,,0.27,F0III-IV,-0.077,-0.096,,false
688,,,,,,14641,232717,,34.97625,-55.944722,5.81,,1.55,K5III,0.026,0.02,,false
689, 69    Cet,69,,,Cet,14652,110495,805,35.485833,0.395833,5.28,,1.65,M2III,-0.013,-0.007,,false
690,,,,,,14662,23283,V440 Per,35.965833,55.364444,6.28,,0.86,F7Ib,0.006,-0.024,,false
691, 70    Cet,70,,,Cet,14690,129858,,35.551667,-0.885,5.42,,0.31,F0Vn,-0.019,-0.048,,false
692,,,,,,14691,148354,,35.505833,-10.777778,5.46,,0.35,F0V,0.14,-0.085,,false
693,,,,,,14728,148356,,35.520833,-17.662222,5.87,,1.23,K0III,0.011,-0.06,,false
694, 64    And,64,,,And,14770,38005,,36.10375,50.006667,5.19,,0.98,G8III,0.024,-0.039,-0.001,false
695,   Kap For,,Kap,,For,14802,167736,,35.635833,-23.816389,5.2,,0.6,G0Va,0.2,-0.062,0.077,false
696, 10    Per,10,,,Per,14818,23304,Var,36.316667,56.61,6.25,,0.31,B2Ia,-0.002,0.008,,false
697,,,,,,14830,148366,,35.740833,-18.354444,6.22,,0.94,G5,0.149,-0.109,,false
698,,,,,,14832,215878,,35.549167,-43.2,6.31,,1.0,K0III,0.064,0.035,,false
699, 65    And,65,,,And,14872,23319,,36.405833,50.278611,4.71,,1.53,K4+III,0.027,-0.01,0.011,false
700,,,,,,14890,193679,,35.777083,-37.576389,6.53,,1.61,K2III,-0.014,-0.037,,false
701,,,,,,14943,232736,,35.7275,-51.092222,5.92,,0.22,A5V,0.022,0.061,,false
702, 24Xi  Ari,24,Xi,,Ari,14951,92932,,36.204167,10.610556,5.47,,-0.1,B7IV,0.02,-0.017,,false
703,,,,,,14988,167757,,36.08375,-25.8475,6.44,,1.32,K3III,0.036,0.013,,false
704, 71    Cet,71,,,Cet,15004,129888,,36.243333,-2.78,6.33,,0.0,A0III,-0.001,-0.007,,false
705,   Del Hyi,,Del,,Hyi,15008,248545,,35.437083,-68.659444,4.09,,0.03,A3V,-0.05,0.002,0.05,false
706,,,,,,15064,215892,,36.140833,-40.840556,6.18,,0.66,G2V,0.222,0.111,,false
707,   Iot Cas,,Iot,,Cas,15089,12298,Iot Cas,37.266667,67.4025,4.52,,0.12,A5pSr,-0.017,0.011,0.023,false
708, 72Rho Cet,72,Rho,,Cet,15130,148385,,36.4875,-12.290556,4.89,,-0.03,B9.5Vn,-0.01,-0.009,0.029,false
709, 66    And,66,,,And,15138,23353,,36.965833,50.569722,6.12,,0.41,F4V,0.036,-0.093,,false
710,,,,,,15144,148386,AB Cet,36.50125,-15.341111,5.83,,0.15,A6VpSrCr,-0.058,-0.047,0.015,false
711,,,,,,15152,75370,,36.779167,27.013333,6.18,,1.43,K5III,-0.055,-0.065,,false
712, 11    Tri,11,,,Tri,15176,55570,,36.865417,31.801389,5.54,,1.12,gK1,-0.027,-0.028,,false
713,,,,,,15220,167795,,36.646667,-20.042778,5.88,,1.26,K2III,0.088,0.099,,false
714,   Lam Hor,,Lam,,Hor,15233,248555,,36.224583,-60.311944,5.35,,0.39,F2III,-0.068,-0.133,0.023,false
715,   Kap Hyi,,Kap,,Hyi,15248,255880,,35.717917,-73.645833,5.01,,1.09,K1III,-0.083,0.01,,false
716,,,,,,15253,23369,,37.354167,55.536389,6.51,,0.09,A2pShell,0.033,-0.01,,false
717, 12    Tri,12,,,Tri,15257,75382,,37.041667,29.669444,5.29,,,F0III,-0.015,-0.087,,false
718, 73Xi 2Cet,73,Xi,2,Cet,15318,110543,,37.039583,8.46,4.28,,-0.06,B9III,0.04,-0.009,0.03,false
719,,,,,,15328,110542,,37.0,1.960833,6.45,,0.97,K0III,-0.002,-0.012,,false
720, 13    Tri,13,,,Tri,15335,75391,,37.202083,29.931944,5.89,,0.58,G0V,-0.069,0.074,,false
721,   Kap Eri,,Kap,,Eri,15371,215906,,36.74625,-47.703889,4.25,,-0.14,B5IV,0.023,-0.01,,false
722,,,,,,15379,248556,TZ Hor,36.359583,-66.494722,6.41,,1.54,M5III,-0.029,-0.019,,false
723,,,,,,15385,75398,,37.306667,23.468889,6.19,,0.15,A5m,0.081,-0.028,,false
724,   Phi For,,Phi,,For,15427,193723,,37.007083,-33.811111,5.14,,0.1,A2V,0.02,0.007,0.015,false
725,,,,,,15453,110565,,37.397083,9.565833,6.07,,1.02,K2III,-0.012,0.012,,false
726,,,,,,15464,55611,,37.569167,33.833889,6.25,,1.07,K1III,0.07,-0.057,,false
727,,,,,,15471,193727,,37.1475,-31.1025,6.11,,1.11,K2IIICNII,-0.034,-0.019,,false
728,,,,,,15524,75407,,37.635,25.235,5.92,,0.41,F6IV,0.066,-0.078,0.022,false
729, 26    Ari,26,,,Ari,15550,92979,UU Ari,37.66,19.855278,6.15,,0.25,A9V,0.078,-0.033,,false
730,,,,,,15588,167832,,37.480833,-22.682778,6.77,,0.19,A9V,0.077,0.006,,false
731, 27    Ari,27,,,Ari,15596,92983,,37.726667,17.703889,6.23,,0.9,G5III-IV,0.031,-0.084,,false
732,,,,,,15633,110583,846,37.688333,0.255278,6.0,,0.17,A7III-IV s,-0.053,-0.071,,false
733,,,,,,15634,167837,TY For,37.5575,-25.186389,6.51,,0.29,dA9n,0.09,0.031,,false
734,,,,,,15646,248567,,37.018333,-64.299722,6.37,,-0.04,A0V,0.037,0.001,,false
735,,,,,,15652,167839,,37.636667,-22.545556,6.1,,1.61,M1III,0.008,-0.033,,false
736, 14    Tri,14,,,Tri,15656,55635,,38.025833,36.147222,5.15,,1.47,K5III,0.046,0.012,,false
737,,,,,,15694,110589,,37.875417,2.267222,5.25,,1.27,K3III,0.027,-0.004,0.041,false
738,,,,,,15755,55650,,38.21875,34.5425,5.83,,1.07,K0III,-0.066,-0.012,,false
739, 75    Cet,75,,,Cet,15779,129959,,38.039167,-1.035,5.35,,1.02,gG3,-0.026,-0.037,,false
740, 76Sig Cet,76,Sig,,Cet,15798,148445,,38.021667,-15.244722,4.75,,0.45,F4IV,-0.07,-0.12,0.035,false
741, 29    Ari,29,,,Ari,15814,92998,,38.225417,15.034722,6.04,,0.54,F8V,-0.028,0.037,,false
742,,,,,,15889,193759,,38.061667,-36.4275,6.3,,1.02,G8III,0.065,0.009,,false
743,,,,,,15920,4694,,39.508333,72.818333,5.16,,0.88,G8III,-0.03,0.016,0.011,false
744,   Lam1For,,Lam,1,For,15975,193763,,38.279167,-34.65,5.9,,1.06,K0III,-0.015,-0.02,,false
745,,,,,,15996,167878,,38.4175,-20.001944,6.21,,1.1,K0,-0.041,-0.079,,false
746,,,,,,16004,55680,,38.86625,39.664444,6.36,,-0.1,B9pHgMn,0.026,-0.026,,false
747,,,,,,16024,12361,,39.400417,65.745556,5.78,,1.56,K5III,0.042,-0.005,,false
748,,,,,,16028,55684,,38.911667,37.312222,5.71,,1.39,K3III,0.004,-0.009,,false
749,   Ome For,,Ome,,For,16046,167882,,38.46125,-28.2325,4.9,,-0.05,B9.5V,-0.019,-0.013,,false
750, 15    Tri,15,,,Tri,16058,55687,866,38.945,34.6875,5.35,,1.66,M3IIIa,0.03,-0.049,0.016,false
751,,,,,,16060,110625,,38.767083,7.471389,6.18,,1.06,gG6,-0.006,-0.108,,false
752, 77    Cet,77,,,Cet,16074,129984,,38.677917,-7.859444,5.75,,1.4,gK4,0.063,-0.065,,false
753,,,,,,16160,110636,,39.020417,6.886944,5.82,,0.98,K3V,1.811,1.451,0.147,false
754, 78Nu  Cet,78,Nu,,Cet,16161,110635,,38.96875,5.593333,4.86,,0.87,G8III,-0.026,-0.025,0.002,false
755,,,,,,16170,232818,,38.4775,-51.093611,6.24,,0.52,F6V,-0.004,-0.03,,false
756,,,,,,16176,55705,,39.238333,38.732778,5.9,,0.48,F5V,0.145,-0.194,,false
757,,,,,,16187,55703,,39.17875,31.6075,6.1,,1.05,K0,-0.042,-0.004,,false
758,,,,,,16210,,R Tri,39.260417,34.263889,5.3,,1.55,M4IIIe,0.058,-0.029,0.008,false
759, 80    Cet,80,,,Cet,16212,130004,,39.0,-7.831667,5.53,,1.59,M0III,-0.033,-0.059,,false
760,,,,,,16219,55715,,39.336667,39.895833,6.54,,-0.12,B5V,0.006,-0.019,,false
761,,,,,,16220,55711,,39.276667,32.891944,6.25,,0.48,F8V,0.065,0.063,,false
762,,,,,,16226,248595,,38.39,-62.586944,6.77,,-0.06,B9V,0.026,0.01,,false
763, 31    Ari,31,,,Ari,16234,93022,,39.157917,12.4475,5.68,,0.49,F7V,0.286,-0.089,0.035,false
764, 30    Ari,30,,,Ari,16232,75470,,39.240417,24.648333,7.09,,0.5,F4V,0.143,0.0,0.018,false
765, 30    Ari,30,,,Ari,16246,75471,,39.252083,24.6475,6.5,,0.41,F6III,0.136,-0.006,0.018,false
766,,,,,,16247,110640,872,39.14625,7.729722,5.81,,1.04,gK0,-0.049,-0.031,,false
767,   Iot1For,,Iot,1,For,16307,193795,,39.03875,-30.044722,5.75,,1.02,G8-K0III,-0.013,0.001,,false
768,,,,,,16327,55729,,39.574167,37.726667,6.18,,0.47,F6III,-0.04,-0.044,,false
769,,,,,,16350,55735,,39.615833,38.089444,6.3,,-0.03,B9.5V,-0.009,0.001,,false
770,,,,,,16399,110653,,39.503333,7.695278,6.39,,0.44,F6IV,0.086,-0.044,,false
771, 81    Cet,81,,,Cet,16400,130026,,39.424167,-3.396111,5.65,,1.02,gG5,0.041,-0.045,,false
772,   Lam2For,,Lam,2,For,16417,193811,,39.244167,-34.578333,5.79,,0.66,G5IV,-0.015,-0.27,0.056,false
773, 32Nu  Ari,32,Nu,,Ari,16432,75495,,39.704167,21.961389,5.43,,0.16,A7V,-0.008,-0.017,0.013,false
774,,,,,,16458,433,,41.948333,81.448333,5.78,,1.3,G8pBa3,0.01,-0.076,0.013,false
775,,,,,,16467,110655,,39.65375,3.443056,6.21,,1.0,G9III,0.043,0.002,,false
776,   Mu  Hyi,,Mu,,Hyi,16522,255898,,37.91875,-79.109444,5.28,,0.98,G8III,0.121,-0.056,0.001,false
777,   Iot2For,,Iot,2,For,16538,193829,,39.577917,-30.194167,5.83,,0.48,F4V,0.1,-0.077,,false
778,   Eta Hor,,Eta,,Hor,16555,232835,,39.351667,-52.543056,5.31,,0.27,A6V,0.1,-0.019,0.025,false
779, 82Del Cet,82,Del,,Cet,16582,110665,Del Cet,39.870833,0.328611,4.07,,-0.22,B2IV,0.014,-0.004,0.001,false
780,,,,,,16589,193834,,39.603333,-37.990556,6.49,,0.52,G0IV,0.111,-0.063,,false
781, 83Eps Cet,83,Eps,,Cet,16620,148528,,39.890833,-11.872222,4.84,,0.45,F5V+F6V,0.146,-0.236,0.072,false
782, 33    Ari,33,,,Ari,16628,75510,,40.17125,27.060833,5.3,,0.09,A3V,0.067,-0.031,0.002,false
783,,,,,,16647,110673,,40.065417,6.111944,6.25,,0.4,F3V:,0.052,-0.003,,false
784,,,,,,16673,130047,,40.05125,-9.453056,5.78,,0.52,F6V,-0.151,-0.086,,false
785, 11    Per,11,,,Per,16727,23555,,40.761667,55.105833,5.77,,-0.13,B7IIIpHg,0.034,-0.027,,false
786,,,,,,16733,193846,,40.010417,-30.633889,6.52,,1.04,K0III,-0.004,-0.068,,false
787,,,,,,16735,23556,,40.74875,53.526111,5.84,,1.12,K0II-III,0.068,-0.03,,false
788, 12    Per,12,,,Per,16739,55793,896,40.562083,40.193889,4.91,,0.59,F9V,-0.019,-0.186,0.043,false
789,,,,,,16754,215996,,39.95,-42.891667,4.75,,0.06,A2V,0.106,-0.027,0.028,false
790, 84    Cet,84,,,Cet,16765,130055,893,40.307917,-0.695833,5.71,,0.52,F7IV,0.214,-0.136,0.036,false
791,,,,,,16769,12421,,41.207083,67.824722,5.95,,0.1,A5III,0.015,-0.033,,false
792,,,,,,16780,38274,,40.757917,48.265556,6.48,R,,G5II,0.007,0.002,,false
793, 34Mu  Ari,34,Mu,,Ari,16811,93062,,40.591667,20.011667,5.69,R,-0.02,A0Vnp:,0.029,-0.043,,false
794,   Iot Eri,,Iot,,Eri,16815,215999,,40.166667,-39.855556,4.11,,1.02,K0III,0.138,-0.032,0.038,false
795,,,,,,16824,130061,,40.45125,-3.213333,6.05,,1.17,gG9,-0.019,0.002,,false
796,,,,,,16825,148550,,40.391667,-14.549444,5.98,,0.43,F5III:,-0.032,0.042,,false
797,,,,,,16861,93067,899,40.620417,10.741667,6.3,,0.06,A2V,-0.025,-0.022,,false
798,,,,,,16891,248616,,39.882083,-64.281944,6.55,,-0.08,B8V,0.025,0.013,,false
799, 13The Per,13,The,,Per,16895,38288,902,41.05,49.228333,4.12,,0.49,F8V,0.336,-0.089,0.077,false
800, 14    Per,14,,,Per,16901,38289,,41.021667,44.296944,5.43,,0.9,G0Ib-IICa1CH-1,0.004,-0.007,,false
801, 35    Ari,35,,,Ari,16908,75532,,40.862917,27.707222,4.66,,-0.13,B3V,0.008,-0.012,,false
802,   Zet Hor,,Zet,,Hor,16920,232857,,40.165,-54.55,5.21,,0.4,F4IV,0.036,-0.001,0.031,false
803,,,,,,16955,75539,,40.963333,25.638056,6.35,,0.08,A2Vp:,-0.011,-0.005,-0.0,false
804, 86Gam Cet,86,Gam,,Cet,16970,110707,,40.825,3.235833,3.47,,0.09,A3V,-0.142,-0.152,0.052,false
805,,,,,,16975,193873,,40.5275,-38.383889,6.01,,0.92,G8III,0.018,0.001,,false
806,   Eps Hyi,,Eps,,Hyi,16978,248621,,39.8975,-68.266944,4.11,,-0.06,B9V,0.086,-0.002,,false
807,,,,,,17006,216013,,40.535417,-46.524444,6.1,,0.88,K1III,0.015,-0.1,,false
808, 36    Ari,36,,,Ari,17017,93081,,41.079583,17.763889,6.46,,1.07,K2III,0.039,-0.038,,false
809, 37Omi Ari,37,Omi,,Ari,17036,93082,,41.137083,15.311667,5.77,,-0.01,B9Vn,-0.002,-0.019,,false
810,   Iot Hor,,Iot,,Hor,17051,232864,,40.639583,-50.800278,5.41,,0.56,G0V,0.334,0.222,0.069,false
